iter	Accuracy	Logloss
0	0.7549752675	0.6799231497
1	0.757045899	0.6687375797
2	0.7541700219	0.6569385325
3	0.7629126884	0.646769763
4	0.7629126884	0.6366099124
5	0.775796618	0.6276672599
6	0.7790176004	0.6193304609
7	0.7698147935	0.6113649455
8	0.770505004	0.6041162841
9	0.77855746	0.5977684236
10	0.7786724951	0.5912739076
11	0.7791326355	0.5846780202
12	0.7783273899	0.57906592
13	0.7797078109	0.5732380915
14	0.7809731968	0.5669998704
15	0.7843092143	0.56185381
16	0.781203267	0.5574275163
17	0.7829287933	0.5525073014
18	0.7816634073	0.5482739318
19	0.7835039687	0.5438769818
20	0.7836190038	0.5401336947
21	0.7855746003	0.5366246756
22	0.7861497757	0.5332550742
23	0.7840791441	0.5294316305
24	0.7841941792	0.5274440269
25	0.7871850915	0.5236185078
26	0.7851144599	0.5206303589
27	0.7851144599	0.5179109216
28	0.7848843897	0.5150431766
29	0.7853445301	0.5119437007
30	0.7855746003	0.5091044546
31	0.7853445301	0.5066616146
32	0.7855746003	0.5046358039
33	0.7855746003	0.5036982298
34	0.7848843897	0.5010488528
35	0.785229495	0.4991347013
36	0.7856896353	0.4969719999
37	0.7860347406	0.4950445919
38	0.7861497757	0.4930234798
39	0.7859197055	0.4911428622
40	0.7855746003	0.489337004
41	0.7877602669	0.4880621265
42	0.7869550213	0.4864134079
43	0.7864948809	0.4845886829
44	0.7876452318	0.482837216
45	0.7886805476	0.4812091739
46	0.7882204072	0.4797365543
47	0.7886805476	0.4782994143
48	0.7891406879	0.4770506885
49	0.7884504774	0.4757221535
50	0.7891406879	0.4743754164
51	0.7887955827	0.4733780976
52	0.7891406879	0.4720473779
53	0.7893707581	0.4712227957
54	0.7887955827	0.4708549737
55	0.7893707581	0.469513997
56	0.7897158633	0.468288223
57	0.7893707581	0.4679614483
58	0.7897158633	0.4668777884
59	0.7902910388	0.4657944293
60	0.7909812493	0.4645811336
61	0.790636144	0.4633627822
62	0.7910962844	0.4624117719
63	0.7913263545	0.4614477029
64	0.7907511791	0.4604650825
65	0.7914413896	0.45944172
66	0.7912113195	0.4584949884
67	0.7912113195	0.4575079412
68	0.7913263545	0.4567684809
69	0.7917864949	0.4560225072
70	0.7917864949	0.4553970097
71	0.7917864949	0.4540263958
72	0.7927067756	0.453271065
73	0.7924767054	0.4522429227
74	0.7928218107	0.451411621
75	0.7930518808	0.4506578752
76	0.7930518808	0.4500963516
77	0.7935120212	0.4495248113
78	0.7936270563	0.448694107
79	0.7937420913	0.4479541829
80	0.7937420913	0.4472421564
81	0.7937420913	0.4465762417
